order_id,customer_id,product_name,item_price,quantity,order_date
137c6e2b-f444-4f66-bac0-4637184a7bc6,5dc066f0-d9da-4293-89a3-6a018676a9e2,Headphones,1331.81,1,2026-03-27 13:26:50.000000
8e500f4a-a676-44ce-99d6-6bd3aa520946,9b7de815-10cb-4fca-9d8f-520e8cf40b51,Mouse,1104.17,10,2026-06-03 16:36:55.000000
ad806a6c-5ab3-43ac-9f7e-88a76e3b2cd8,6cd9a857-3986-481e-9ab4-11dd0627bc99,Phone,685.21,5,2026-04-30 14:13:42.000000
58a1d3b1-34ba-4b8f-892d-d52cd2740035,dec95ce5-0e10-4eb0-b041-1d355d5fd3e4,Laptop,1876.74,1,2026-05-08 11:05:36.000000
e9084b91-85cd-4ec4-b020-e4e0b010a1dc,41263484-8f38-41b7-9a2a-aba86da95f03,Mouse,1396.7,5,2026-04-15 09:41:29.000000
fa68101b-91c2-4ebe-981d-4d50d25ecf00,790bb901-aca8-4353-9f74-e12e008f4512,Mouse,977.26,3,2026-02-28 04:02:18.000000
c290b66e-dd04-406d-b01f-5a42cc29f912,4a676d13-fcc9-495e-8b41-5c9971bda0cb,Monitor,1608.52,9,2026-02-10 16:14:49.000000
414678bd-7589-448e-8067-0e5234dac3d4,2c84c084-356b-4545-a46d-0d3e2913c0c4,Camera,1653.47,6,2026-03-16 11:29:01.000000
07fac041-791c-4da0-b676-73d67971897e,cc1e467a-0479-49df-8bd4-0199439e23c9,Monitor,1964.87,3,2026-05-25 10:03:04.000000
549f8e39-4b60-4c2b-9c7e-fe4de52ccaeb,25f79423-cf63-4696-b377-c4c66900dc07,Laptop,1274.85,1,2026-03-27 10:08:34.000000
6945dbed-26f8-4c18-97d2-795970a5fff5,cfd6c08c-d62e-404e-bb0c-64b0630d7036,Mouse,1049.1,4,2026-05-21 17:44:32.000000
1b6fe9cd-b71e-49ff-b2b7-2ae7be7e3b05,7d6b1047-7d75-4b8b-8038-0aeb3aa4925f,Phone,944.89,4,2026-05-01 09:07:40.000000
435edfda-b7d9-48aa-91ff-60b882969f58,32a6160e-db5f-48bd-be3d-937f846c8b72,Tablet,1424.64,2,2026-05-24 03:54:59.000000
c95e37a0-b95f-4a24-8474-e8fdd03c0cd4,0bc40b42-e095-4881-a986-0cb7254f7185,Laptop,1222.3,6,2026-05-05 18:23:58.000000
af3c05d5-23bd-489d-ac32-f388ead502a7,4a6266b6-c8d4-4bb4-af1e-b6cded5bda9f,Tablet,403.41,3,2026-01-15 12:17:12.000000
92436e36-e819-4ed4-99ef-fbfcbc3d27e6,018e4120-8321-4c79-a424-f0479ae277d7,Headphones,1655.89,10,2026-04-26 00:43:57.000000
9c298021-badf-4169-9385-354b5b9a619a,6354ee49-8c42-4396-b26f-cf7cc539faf8,Mouse,1898.07,9,2026-03-31 00:01:33.000000
2dd863a1-0eea-427d-b0e2-43fbad6650c2,9a88ef86-a747-4378-afad-ec91ec654cb4,Laptop,1096.08,3,2026-04-13 21:20:50.000000
e58f9468-dcf7-4f54-a37d-fc8215c818ed,e113fe4a-77d3-4a31-8b24-7da549fe3e52,Headphones,1343.11,10,2026-04-29 16:55:27.000000
f2c3f36d-f12b-4086-80f7-39fcdf170bd9,eb7cf2ac-2ccf-4447-bbff-e36368c5add3,Monitor,1476.94,1,2026-05-04 02:33:37.000000
7a044c49-439c-4115-bc70-bd68348e8e29,1722bbe0-f0c7-497c-b0f8-5067246ad9ad,Laptop,1818.99,7,2026-01-12 11:20:55.000000
b80cb891-ea81-450e-a8d4-29d0349eeaa4,be57ccfa-22cb-4bb7-8bbd-e52e20fe4815,Phone,1214.95,7,2026-05-16 07:02:27.000000
c9b3cf20-9be5-41c5-b14b-dfce3b6da1e5,c86a5af9-29be-4cf6-81bb-1393a7a03077,Tablet,1519.54,10,2026-06-14 13:37:38.000000
c91017fc-8200-4302-b721-9bee530d0338,eed1f8f4-ad57-429c-ac42-d27bed26dea5,Laptop,1181.33,6,2026-01-28 21:15:12.000000
7f2c259e-e2dd-4217-82fe-2ffc0a39332b,cfd8014f-3140-4638-8d01-71a1ce35ab61,Tablet,1749.58,4,2026-03-04 13:27:27.000000
e5821a4f-629e-4698-9dd7-af1e230360c5,389b5812-4bb3-4c58-8d69-dbd04db3698a,Headphones,993.44,9,2026-01-16 23:00:55.000000
32b3f63a-ff83-4e64-bd74-94e15cb98f16,0a42083f-17a3-4447-bd39-93f001ed2e34,Mouse,1787.87,7,2026-02-15 21:03:06.000000
cf7b9d68-2bb6-4ce9-b58a-c37f61a786ab,e9315f99-33f8-4158-95ff-4c15fd8822b9,Keyboard,1234.68,3,2026-03-24 17:59:17.000000
0b5238c3-77cc-462e-9cac-a563fc4fb7d9,a84cbbf1-1991-47de-a24d-7b23fa4b0a15,Tablet,893.68,6,2026-06-12 21:51:47.000000
04225305-7a6c-4028-a148-5964395839e5,832980ce-e127-4e1f-8833-a537c90d4eb1,Camera,1350.34,2,2026-04-11 00:34:22.000000
6a708674-d6d5-4883-80de-6a92fb1b7b46,f53ebac1-0db3-4d10-a2c7-ac217187c2e6,Keyboard,938.67,8,2026-03-20 07:35:06.000000
20065774-8250-4b7b-b684-ab94e4a9512f,cf781fbb-029d-4cf3-a7dc-0143da82224f,Monitor,582.08,3,2026-04-05 19:08:41.000000
75af3191-430d-4ee5-b707-34d3598722f8,6b2fd1ae-3b87-40d6-a639-3381861846f5,Tablet,487.8,4,2026-06-07 12:55:31.000000
b2985a0b-7ca2-434e-824a-7309d8d2f787,bba8a4ec-bbb5-41e1-ad88-0421a83ad6df,Mouse,613.94,3,2026-05-08 20:44:20.000000
3ef37e73-5885-4478-8e68-59e08c54abff,b5a4c3b1-f566-44a1-bf79-0ed9f8f2e23d,Headphones,1474.81,10,2026-01-30 19:21:17.000000
1a8d4297-8a06-41d8-929a-6da767689430,ebccee5b-1b99-4197-ae10-58bc7155d232,Tablet,1117.19,10,2026-04-27 10:31:22.000000
c99ec490-f351-47e6-908f-8331d47f7879,863db360-3b12-4233-9425-68e77841889c,Monitor,1281.97,2,2026-03-21 02:46:32.000000
c3db7c66-e7a8-411c-b303-5d67d93baf5d,d98199ee-5af2-436f-9156-567aa23535ab,Tablet,1737.6,9,2026-05-24 01:30:11.000000
6a0fd4ea-d295-42ea-8bd1-79389111396c,0ccc4ed9-95aa-460c-8103-7fecc34fae8e,Headphones,57.23,6,2026-03-14 21:25:04.000000
adc2df67-c906-49bc-957c-484c98860347,850dfa55-98f6-4ea5-ad6d-436388fe9928,Tablet,1676.27,2,2026-01-15 02:02:11.000000
f40ce2a9-c13a-49ff-8d59-072fa999cecb,359fac33-88d7-476a-a606-6ff40a4b5847,Tablet,933.96,6,2026-02-14 00:55:19.000000
92739db1-5359-4c82-8537-f91eecff750a,f0b78cd0-37b2-4f2e-9bd3-c72e6d27514c,Camera,809.84,7,2026-01-30 10:35:01.000000
